Rank,Query_Ticker,Recommended_Ticker,Query_Cluster,Recommended_Cluster,Same_Cluster,Distance,Similarity,Sector,PC1,PC2,PC3,RET,VOL,PE,ROE,DY,BETA,Is_Outlier
1,LPB.VN,VRE.VN,0,0,True,0.337243,0.747808,Real Estate,-0.2514355076346181,-1.4147653281705646,1.4847513283086045,0.8959537572254335,0.0266830342820469,10.842795,0.14773,2.81,0.927,1
2,LPB.VN,TPB.VN,0,0,True,1.38663,0.419001,Banking,0.3708018348302654,-2.145622376447057,0.9034732970059508,0.1714584022069438,0.0222481317541997,5.9307694,0.16904,6.03,0.668,0
3,LPB.VN,VIB.VN,0,0,True,1.409068,0.415098,Banking,0.5728683806502743,-1.6985759955596464,0.7731817200732893,0.0708319959311818,0.0177450868318352,7.132668,0.16360001,5.66,0.57,0
4,LPB.VN,SSI.VN,0,0,True,1.437232,0.410302,Securities,-1.1958723563094038,-2.075779537703797,0.9322904865263442,0.2092338377699256,0.0240476618610594,13.157894,0.13479,3.36,1.169,1
5,LPB.VN,VND.VN,0,0,True,1.487342,0.402036,Securities,-1.1533099872887382,-1.909555804018373,0.7132687747736046,0.6128136045330321,0.0274602437098891,11.389522,0.105179995,3.06,1.06,1
1,MBB.VN,CTG.VN,0,0,True,0.387664,0.720636,Banking,-0.6956412425765698,-3.861362809370724,2.1384053627687054,0.3693052018413842,0.0179343354414771,7.122507,0.22364001,0.89,0.741,0
2,MBB.VN,HDB.VN,0,0,True,0.512177,0.661298,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
3,MBB.VN,SHB.VN,0,0,True,0.706183,0.586104,Banking,-1.1795748749578248,-4.195639613979112,2.1217659507035944,1.0868238581761482,0.0226856691389455,5.2083335,0.18304001,3.2,0.584,0
4,MBB.VN,VPB.VN,0,0,True,0.81646,0.550521,Banking,-0.920578305584014,-4.44187656239547,1.8564471084440648,0.5394199082678464,0.0246532209885813,8.14996,0.15836,1.85,0.523,0
5,MBB.VN,TCB.VN,0,0,True,0.847373,0.541309,Banking,-1.007911631777444,-2.866310045191616,1.535051609029934,0.448046402424195,0.0201870092872197,8.787346,0.15788999,2.17,0.914,0
1,MSB.VN,TPB.VN,0,0,True,0.579824,0.632982,Banking,0.3708018348302654,-2.145622376447057,0.9034732970059508,0.1714584022069438,0.0222481317541997,5.9307694,0.16904,6.03,0.668,0
2,MSB.VN,VIB.VN,0,0,True,0.828944,0.546764,Banking,0.5728683806502743,-1.6985759955596464,0.7731817200732893,0.0708319959311818,0.0177450868318352,7.132668,0.16360001,5.66,0.57,0
3,MSB.VN,ACB.VN,0,0,True,1.000478,0.49988,Banking,0.5382021046681135,-2.483932495086689,1.3017433707558126,0.133642205020082,0.0161070491537156,7.247091,0.17508,4.39,0.319,0
4,MSB.VN,VCI.VN,0,0,True,1.171403,0.460532,Securities,-0.6398836818553962,-1.543519223348965,0.0598609225488672,0.0639194008565022,0.0227031571122266,18.018017,0.09283,2.26,0.876,0
5,MSB.VN,BID.VN,0,0,True,1.222604,0.449923,Banking,-0.5061920008651106,-2.8167291669034777,1.2619981079916187,0.0428879177757983,0.0162964008701505,11.299435,0.18096,1.03,0.937,0
1,SHB.VN,VPB.VN,0,0,True,0.445091,0.691998,Banking,-0.920578305584014,-4.44187656239547,1.8564471084440648,0.5394199082678464,0.0246532209885813,8.14996,0.15836,1.85,0.523,0
2,SHB.VN,CTG.VN,0,0,True,0.588396,0.629566,Banking,-0.6956412425765698,-3.861362809370724,2.1384053627687054,0.3693052018413842,0.0179343354414771,7.122507,0.22364001,0.89,0.741,0
3,SHB.VN,MBB.VN,0,0,True,0.706183,0.586104,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
4,SHB.VN,HDB.VN,0,0,True,0.88878,0.529442,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
5,SHB.VN,TCB.VN,0,0,True,1.463154,0.405984,Banking,-1.007911631777444,-2.866310045191616,1.535051609029934,0.448046402424195,0.0201870092872197,8.787346,0.15788999,2.17,0.914,0
1,SSB.VN,PDR.VN,3,3,True,1.480027,0.403221,Real Estate,0.6022434332081907,-1.1405326270346807,-1.8203372362113155,0.0121739474243867,0.0284382645371279,26.385008,0.05085,2.81,-0.02,1
2,SSB.VN,KBC.VN,3,3,True,1.613017,0.382699,Real Estate,0.0584350335757305,-0.8044573575623373,-0.8121031442421157,0.2554744525547445,0.0244279246992217,18.939394,0.06577,2.81,1.038,0
3,SSB.VN,BCM.VN,3,3,True,1.785699,0.358976,Real Estate,0.0902338927265107,-0.5616154797370847,-0.4325926339735323,-0.1313559802458148,0.0204904646805737,17.152658,0.15845999,2.02,0.501,0
4,SSB.VN,HHV.VN,3,3,True,1.807442,0.356196,Construction,-0.3034852071766025,-1.3919864539991256,-1.5049637468479429,0.1756409962028997,0.022003179583098,9.349885,0.05924,2.81,0.786,1
5,SSB.VN,HAG.VN,3,3,True,1.878132,0.347448,Midcap,0.0754783450038156,-0.8170892467253151,0.2809366766738503,0.4430894308943089,0.0257815225791926,6.127451,0.2375,2.81,0.327,1
1,STB.VN,HCM.VN,3,3,True,0.532874,0.652369,Securities,-0.5356255327941862,-1.0744130944459145,-0.4775805054334824,-0.1993704379005995,0.0241506269123989,19.455254,0.10057,2.49,0.942,0
2,STB.VN,BCM.VN,3,3,True,1.094467,0.477448,Real Estate,0.0902338927265107,-0.5616154797370847,-0.4325926339735323,-0.1313559802458148,0.0204904646805737,17.152658,0.15845999,2.02,0.501,0
3,STB.VN,FTS.VN,3,3,True,1.097852,0.476678,Securities,-0.3694959816825652,-0.5232639269285664,-1.0766478291047088,-0.1138394926209229,0.0237404427599565,22.172846,0.09175,2.12,0.716,0
4,STB.VN,HAG.VN,3,3,True,1.120798,0.471521,Midcap,0.0754783450038156,-0.8170892467253151,0.2809366766738503,0.4430894308943089,0.0257815225791926,6.127451,0.2375,2.81,0.327,1
5,STB.VN,KBC.VN,3,3,True,1.169902,0.46085,Real Estate,0.0584350335757305,-0.8044573575623373,-0.8121031442421157,0.2554744525547445,0.0244279246992217,18.939394,0.06577,2.81,1.038,0
1,TCB.VN,VCB.VN,0,0,True,0.28261,0.77966,Banking,-0.9401963633177788,-2.77721330936436,1.7945599778929904,-0.0610578666104065,0.01506423413017,16.447369,0.16383,0.866,0.529,0
2,TCB.VN,BID.VN,0,0,True,0.573358,0.635583,Banking,-0.5061920008651106,-2.8167291669034777,1.2619981079916187,0.0428879177757983,0.0162964008701505,11.299435,0.18096,1.03,0.937,0
3,TCB.VN,MBB.VN,0,0,True,0.847373,0.541309,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
4,TCB.VN,SSI.VN,0,0,True,1.011726,0.497086,Securities,-1.1958723563094038,-2.075779537703797,0.9322904865263442,0.2092338377699256,0.0240476618610594,13.157894,0.13479,3.36,1.169,1
5,TCB.VN,HDB.VN,0,0,True,1.200214,0.454501,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
1,TPB.VN,VIB.VN,0,0,True,0.507599,0.663306,Banking,0.5728683806502743,-1.6985759955596464,0.7731817200732893,0.0708319959311818,0.0177450868318352,7.132668,0.16360001,5.66,0.57,0
2,TPB.VN,ACB.VN,0,0,True,0.548722,0.645694,Banking,0.5382021046681135,-2.483932495086689,1.3017433707558126,0.133642205020082,0.0161070491537156,7.247091,0.17508,4.39,0.319,0
3,TPB.VN,MSB.VN,0,0,True,0.579824,0.632982,Banking,0.1798875868651935,-2.315377641770072,0.3829632803777725,0.2987012987012987,0.020046630538867,7.6745768,0.14335,2.81,0.615,0
4,TPB.VN,VRE.VN,0,0,True,1.122148,0.471221,Real Estate,-0.2514355076346181,-1.4147653281705646,1.4847513283086045,0.8959537572254335,0.0266830342820469,10.842795,0.14773,2.81,0.927,1
5,TPB.VN,BID.VN,0,0,True,1.161052,0.462738,Banking,-0.5061920008651106,-2.8167291669034777,1.2619981079916187,0.0428879177757983,0.0162964008701505,11.299435,0.18096,1.03,0.937,0
1,VCB.VN,TCB.VN,0,0,True,0.28261,0.77966,Banking,-1.007911631777444,-2.866310045191616,1.535051609029934,0.448046402424195,0.0201870092872197,8.787346,0.15788999,2.17,0.914,0
2,VCB.VN,BID.VN,0,0,True,0.688145,0.592366,Banking,-0.5061920008651106,-2.8167291669034777,1.2619981079916187,0.0428879177757983,0.0162964008701505,11.299435,0.18096,1.03,0.937,0
3,VCB.VN,MBB.VN,0,0,True,0.860154,0.53759,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
4,VCB.VN,HDB.VN,0,0,True,1.127326,0.470074,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
5,VCB.VN,SSI.VN,0,0,True,1.140565,0.467166,Securities,-1.1958723563094038,-2.075779537703797,0.9322904865263442,0.2092338377699256,0.0240476618610594,13.157894,0.13479,3.36,1.169,1
1,VIB.VN,TPB.VN,0,0,True,0.507599,0.663306,Banking,0.3708018348302654,-2.145622376447057,0.9034732970059508,0.1714584022069438,0.0222481317541997,5.9307694,0.16904,6.03,0.668,0
2,VIB.VN,MSB.VN,0,0,True,0.828944,0.546764,Banking,0.1798875868651935,-2.315377641770072,0.3829632803777725,0.2987012987012987,0.020046630538867,7.6745768,0.14335,2.81,0.615,0
3,VIB.VN,ACB.VN,0,0,True,0.947293,0.513533,Banking,0.5382021046681135,-2.483932495086689,1.3017433707558126,0.133642205020082,0.0161070491537156,7.247091,0.17508,4.39,0.319,0
4,VIB.VN,VRE.VN,0,0,True,1.125325,0.470516,Real Estate,-0.2514355076346181,-1.4147653281705646,1.4847513283086045,0.8959537572254335,0.0266830342820469,10.842795,0.14773,2.81,0.927,1
5,VIB.VN,LPB.VN,0,0,True,1.409068,0.415098,Banking,-0.3167351196932483,-1.352705408999751,1.8097390812205705,0.4393881267431054,0.0215746621720011,14.226691,0.23426001,5.64,0.725,1
1,VPB.VN,SHB.VN,0,0,True,0.445091,0.691998,Banking,-1.1795748749578248,-4.195639613979112,2.1217659507035944,1.0868238581761482,0.0226856691389455,5.2083335,0.18304001,3.2,0.584,0
2,VPB.VN,CTG.VN,0,0,True,0.683442,0.594021,Banking,-0.6956412425765698,-3.861362809370724,2.1384053627687054,0.3693052018413842,0.0179343354414771,7.122507,0.22364001,0.89,0.741,0
3,VPB.VN,MBB.VN,0,0,True,0.81646,0.550521,Banking,-0.8444896895289529,-3.6290271183583513,1.8661052548061603,0.5245861552569457,0.019003326612167,7.204611,0.20782,1.21,0.61,0
4,VPB.VN,HDB.VN,0,0,True,0.925193,0.519429,Banking,-0.4321998420011807,-3.715953535551429,2.157285719306726,0.444157572058522,0.0226980993606418,7.5277085,0.24431999,2.81,0.5,0
5,VPB.VN,TCB.VN,0,0,True,1.610383,0.383086,Banking,-1.007911631777444,-2.866310045191616,1.535051609029934,0.448046402424195,0.0201870092872197,8.787346,0.15788999,2.17,0.914,0
1,FPT.VN,PNJ.VN,1,1,True,0.532754,0.65242,Retail,0.9490294739001224,1.8933783182351,1.3740654524546545,0.0228182502783464,0.0212449964889569,9.98004,0.27692,2.04,0.544,0
2,FPT.VN,GMD.VN,1,1,True,0.90577,0.524722,Logistics,1.273744340071224,0.9524107269626222,0.6628103028716904,-0.0353992317450673,0.022688778512154,18.148819,0.16347,2.95,0.589,0
3,FPT.VN,ANV.VN,1,1,True,0.961724,0.509756,Seafood,0.0190670696279474,0.8543005141235753,0.9410723983689372,0.3869511030708148,0.0287963640538231,5.6369786,0.3196,2.22,0.86,1
4,FPT.VN,DCM.VN,1,1,True,0.993176,0.501712,Materials,1.408413052192382,1.0825286719086675,0.5387315604569597,-0.0288722344952443,0.0204555889721782,10.7181,0.21162,4.83,0.247,0
5,FPT.VN,IMP.VN,1,1,True,1.126825,0.470185,Pharma,1.7667670571919143,1.582613192983587,0.7233686826036201,0.1024286965974659,0.0193584330975308,23.251432,0.15421,1.07,0.463,0
1,CMG.VN,DGW.VN,3,3,True,0.549064,0.645551,Retail,0.4211881512174837,1.0295185046769957,-1.0846897833892364,-0.026478671590113,0.0246412457327064,14.306151,0.19156,2.4,0.327,0
2,CMG.VN,MIG.VN,3,3,True,0.645866,0.607583,Insurance,1.0193422617213066,0.147272304202033,-1.4163816242548106,0.0882566002313378,0.0181791661805172,11.454754,0.12516,2.81,0.398,0
3,CMG.VN,GIL.VN,3,3,True,0.75774,0.568912,Textile,1.4095970665214774,0.6582681265393302,-1.4977191030760544,-0.3477218225419664,0.025376697296959,13.7126755,0.01754,2.81,0.637,0
4,CMG.VN,NLG.VN,3,3,True,0.89368,0.528072,Real Estate,0.9564162716278372,-0.1595580826414922,-1.4925625412157997,-0.1493231322188107,0.0263260838236888,20.201939,0.06429,1.83,0.836,0
5,CMG.VN,ELC.VN,3,3,True,0.893689,0.52807,Technology,1.1409544596936996,0.7048891472065151,-0.6885578109939908,-0.0166345969169657,0.0196960507041994,13.7126755,0.091730006,2.81,0.589,0
1,ELC.VN,DPM.VN,3,3,True,0.262016,0.792383,Materials,0.9825825223148164,0.5074875566848287,-0.6207107990654299,0.1781509538782171,0.0202778928459491,16.666666,0.1116,3.28,0.36,0
2,ELC.VN,BWE.VN,3,3,True,0.56055,0.6408,Utilities,0.9477733154200886,0.2168447765056616,-0.4918078077728923,0.0241725822063703,0.0152387972763647,10.952903,0.18269,2.95,-0.058,0
3,ELC.VN,TCM.VN,3,3,True,0.831657,0.545954,Textile,1.7152680701998562,0.3989334034370477,-1.206445873235633,-0.3779021819415997,0.0187423740366779,11.061946,0.10875,4.39,0.364,0
4,ELC.VN,GIL.VN,3,3,True,0.853864,0.539414,Textile,1.4095970665214774,0.6582681265393302,-1.4977191030760544,-0.3477218225419664,0.025376697296959,13.7126755,0.01754,2.81,0.637,0
5,ELC.VN,GVR.VN,3,3,True,0.869842,0.534805,Materials,0.4652858717629508,0.1874816389487817,-0.5085956977221633,-0.1154319939632806,0.0239681152682698,23.923445,0.09948,1.1,1.426,0
1,MWG.VN,BSR.VN,3,3,True,0.896635,0.52725,Energy,-0.0663812572639074,0.5482362527450164,-0.3806040697476178,0.2112499748094352,0.027648296818571,11.709601,0.14062999,2.81,0.589,1
2,MWG.VN,DGW.VN,3,3,True,1.35161,0.425241,Retail,0.4211881512174837,1.0295185046769957,-1.0846897833892364,-0.026478671590113,0.0246412457327064,14.306151,0.19156,2.4,0.327,0
3,MWG.VN,GVR.VN,3,3,True,1.385952,0.41912,Materials,0.4652858717629508,0.1874816389487817,-0.5085956977221633,-0.1154319939632806,0.0239681152682698,23.923445,0.09948,1.1,1.426,0
4,MWG.VN,DPM.VN,3,3,True,1.52608,0.39587,Materials,0.9825825223148164,0.5074875566848287,-0.6207107990654299,0.1781509538782171,0.0202778928459491,16.666666,0.1116,3.28,0.36,0
5,MWG.VN,VCG.VN,3,3,True,1.569633,0.389161,Construction,0.3887207746328896,-0.1510255594340172,0.5779290074171131,0.4012785924547486,0.0216027818656745,4.991839436,0.33854,3.56,0.551,1
1,FRT.VN,HVN.VN,3,3,True,0.987071,0.503253,Aviation,-1.2486339563240592,2.070750022389298,-1.1589886486161507,-0.1335616438356164,0.0272692337674402,7.4906235,0.15097,2.81,0.763,0
2,FRT.VN,MSN.VN,3,3,True,1.800033,0.357139,Consumer,-1.0400360832761366,1.1882692248760989,-1.2693871403882515,0.0861581920903955,0.0209355049383975,23.310024,0.1731,2.81,0.78,0
3,FRT.VN,MWG.VN,3,3,True,2.012313,0.331971,Retail,-0.0929131789744725,1.277411979467408,0.1405032960838166,0.4814089260772629,0.020571817104407,14.285714,0.2525,1.26,0.449,1
4,FRT.VN,BVH.VN,3,3,True,2.034018,0.329596,Insurance,-0.6700385330225586,1.338404206652389,-1.9720618134017769,0.1755466445736297,0.0231792948849196,17.331022,0.12069,1.46,0.201,0
5,FRT.VN,DGW.VN,3,3,True,2.352144,0.298317,Retail,0.4211881512174837,1.0295185046769957,-1.0846897833892364,-0.026478671590113,0.0246412457327064,14.306151,0.19156,2.4,0.327,0
1,DGW.VN,CMG.VN,3,3,True,0.549064,0.645551,Technology,0.6545328067414706,0.67980899162376,-1.4378541447648523,-0.2768762765880025,0.0226051397584824,14.947683,0.13036999,2.81,0.379,0
2,DGW.VN,ELC.VN,3,3,True,0.883385,0.530959,Technology,1.1409544596936996,0.7048891472065151,-0.6885578109939908,-0.0166345969169657,0.0196960507041994,13.7126755,0.091730006,2.81,0.589,0
3,DGW.VN,DPM.VN,3,3,True,0.896078,0.527404,Materials,0.9825825223148164,0.5074875566848287,-0.6207107990654299,0.1781509538782171,0.0202778928459491,16.666666,0.1116,3.28,0.36,0
4,DGW.VN,BSR.VN,3,3,True,0.982392,0.504441,Energy,-0.0663812572639074,0.5482362527450164,-0.3806040697476178,0.2112499748094352,0.027648296818571,11.709601,0.14062999,2.81,0.589,1
5,DGW.VN,GVR.VN,3,3,True,1.021203,0.494755,Materials,0.4652858717629508,0.1874816389487817,-0.5085956977221633,-0.1154319939632806,0.0239681152682698,23.923445,0.09948,1.1,1.426,0
1,PNJ.VN,FPT.VN,1,1,True,0.532754,0.65242,Technology,0.7058942619477204,1.5093960328413336,1.0960909023445122,-0.2550376181275305,0.0195563645051299,14.184397,0.2849,2.61,0.426,0
2,PNJ.VN,GAS.VN,1,1,True,0.687185,0.592703,Energy,1.2661347469459754,2.259306006829578,1.8616767823368847,0.169565246032991,0.0177682020129978,18.621975,0.17497,2.41,0.698,0
3,PNJ.VN,IMP.VN,1,1,True,1.090264,0.478408,Pharma,1.7667670571919143,1.582613192983587,0.7233686826036201,0.1024286965974659,0.0193584330975308,23.251432,0.15421,1.07,0.463,0
4,PNJ.VN,GMD.VN,1,1,True,1.223415,0.449759,Logistics,1.273744340071224,0.9524107269626222,0.6628103028716904,-0.0353992317450673,0.022688778512154,18.148819,0.16347,2.95,0.589,0
5,PNJ.VN,TRA.VN,1,1,True,1.244718,0.44549,Pharma,2.0295127631028107,1.8184321748498509,0.7606643337811277,0.0082690409245247,0.0120320791108592,14.025245,0.19500999,5.06,0.123,0
1,HPG.VN,VCI.VN,0,0,True,0.557333,0.642124,Securities,-0.6398836818553962,-1.543519223348965,0.0598609225488672,0.0639194008565022,0.0227031571122266,18.018017,0.09283,2.26,0.876,0
2,HPG.VN,VND.VN,0,0,True,1.007354,0.498168,Securities,-1.1533099872887382,-1.909555804018373,0.7132687747736046,0.6128136045330321,0.0274602437098891,11.389522,0.105179995,3.06,1.06,1
3,HPG.VN,SSI.VN,0,0,True,1.282221,0.43817,Securities,-1.1958723563094038,-2.075779537703797,0.9322904865263442,0.2092338377699256,0.0240476618610594,13.157894,0.13479,3.36,1.169,1
4,HPG.VN,VRE.VN,0,0,True,1.685055,0.372432,Real Estate,-0.2514355076346181,-1.4147653281705646,1.4847513283086045,0.8959537572254335,0.0266830342820469,10.842795,0.14773,2.81,0.927,1
5,HPG.VN,MSB.VN,0,0,True,1.719481,0.367717,Banking,0.1798875868651935,-2.315377641770072,0.3829632803777725,0.2987012987012987,0.020046630538867,7.6745768,0.14335,2.81,0.615,0
1,HSG.VN,EIB.VN,3,3,True,0.382205,0.723482,Banking,-0.0863990328147885,-0.7974594326596467,-2.07847381086615,0.1546666666666667,0.0254436508027534,53.475937,0.02865,2.81,-0.09976,1
2,HSG.VN,VDS.VN,3,3,True,0.741414,0.574246,Securities,-0.2482333775603837,-0.4694284224400342,-1.531727628077095,-0.098053536552867,0.0283973528460756,15.037594,0.08043,2.81,1.003,0
3,HSG.VN,DIG.VN,3,3,True,0.756501,0.569314,Midcap,0.2303511141175495,-0.5574543263791272,-1.6342646020022478,-0.0635751143713587,0.0293149500956468,13.210039,0.07079,2.81,0.957,0
4,HSG.VN,NKG.VN,3,3,True,0.800278,0.55547,Materials,-0.2604094231444359,-0.4068551762659061,-3.061592753870445,0.023890784982935,0.023787045978346,38.461536,0.02019,2.81,0.923,0
5,HSG.VN,DXG.VN,3,3,True,0.893088,0.528238,Real Estate,-1.0348917626736815,-0.2441312238836552,-2.255291287031199,0.3041400989967509,0.0267534691992001,76.33388,0.03827,2.81,0.808,1
1,NKG.VN,ASM.VN,3,3,True,0.669074,0.599135,Midcap,0.1961616257902347,0.0817202248557844,-3.083890265918204,-0.177225419592645,0.0204371119842378,21.834227,0.02665,2.81,0.648,0
2,NKG.VN,HSG.VN,3,3,True,0.800278,0.55547,Materials,-0.1730323642849626,-0.4778160764212283,-2.2692707077742527,-0.1147595790956365,0.0222505321158291,19.157087,0.04765,3.36,1.089,1
3,NKG.VN,SCR.VN,3,3,True,0.853961,0.539386,Midcap,-0.9762491630317174,-0.1181945264351663,-2.696219965892604,0.341549295774648,0.0268665445927491,26.246077,0.017144,2.81,0.726,1
4,NKG.VN,EIB.VN,3,3,True,1.072089,0.482605,Banking,-0.0863990328147885,-0.7974594326596467,-2.07847381086615,0.1546666666666667,0.0254436508027534,53.475937,0.02865,2.81,-0.09976,1
5,NKG.VN,DXG.VN,3,3,True,1.129789,0.46953,Real Estate,-1.0348917626736815,-0.2441312238836552,-2.255291287031199,0.3041400989967509,0.0267534691992001,76.33388,0.03827,2.81,0.808,1
1,DGC.VN,SAB.VN,1,1,True,0.584504,0.631112,Consumer,2.992738195242844,2.3806607422514032,2.4180139581765943,-0.0516897119149943,0.0152928993266467,13.140604,0.20154,10.42,0.362,0
2,DGC.VN,DHG.VN,1,1,True,0.986888,0.5033,Pharma,2.8616509878919376,2.787587322283391,2.711181211856626,0.0474387088432883,0.0117430394098232,14.224751,0.20486,5.26,0.329,0
3,DGC.VN,VNM.VN,1,1,True,1.841744,0.351897,Consumer,1.6636387669691306,2.4172776033941266,2.3325880121079043,0.0616401954500214,0.0163844055164813,13.400106,0.2768,9.07,0.393,0
4,DGC.VN,TRA.VN,1,1,True,2.251358,0.307564,Pharma,2.0295127631028107,1.8184321748498509,0.7606643337811277,0.0082690409245247,0.0120320791108592,14.025245,0.19500999,5.06,0.123,0
